मसूरी	ma suu rii
बेचैनी	bei chai nii
कथा	ka thaa
झूमता	jhuum taa
किफायती	ki phaay tii
उत्प्रेरक	ut prei rak
बेसुध	bei sudh
शीत	shiit
बीटिंग	bii t:ing
प्रवृतियों	prav rxi ti yoon
तीसरा	tiis raa
होम	hoom
कथन	ka than
घटती	ghat: tii
दवाओं	da vaaoon
लोमड़ी	loom dii
बचाते	ba chaa tei
फतेहपुर	fa teih pur
बंधने	ban dha nei
आपके	aap kei
आपका	aap kaa
महाराणा	ma haa raa n:aa
सजाए	sa jaaei
इंटरनेशनल	in t:ar neish nal
स्वरूप	sva ruup
जलते	jal tei
सौगात	sau gaat
जाग्रत	jaag rat
खोलने	khool nei
द्वेश	dveish
रीतियों	rii ti yoon
जरुरत	ja ruu rat
जिनसे	jin sei
भ्रष्टाचार	bhrxishh t:aa chaar
अनुपयुक्त	a nup yukt
कार्बन्स	kaar bans
दिनचर्या	din char yaa
पुनर्सुधार	pu nar su dhaar
चिन्तित	chin tit
विश्वव्यापी	vish vav yaa pii
विपत्तियों	vi pat ti yoon
जुलियस	ju li yas
क्षितिज	kshhi tij
कंपनियाँ	kam pa ni yaan
विश्वभर	vish va bhar
जली	ja lii
पाये	paa yei
धर्मनिरपेक्ष	dhar ma nir peiksh
पोलियो	poo li yoo
वंशानुगत	van shaa nu gat
पावें	paa vein
चैत्य	chait ya
हस्ताक्षर	has taak shhar
निवासी	ni vaa sii
कमाता	ka maa taa
बिक्रि	bik ri
प्राप्ती	praap tii
रहेगी	ra hei gii
दूरीयों	duu ri yoon
सर्दियाँ	sar di yaan
अभूतपूर्व	a bhuut puurv
साँको	saan koon
दिखती	dikh tii
दिखते	dikh tei
बाढ	baad:h
बताते	ba taa tei
डम्पिंग	d:am ping
सौम्यता	saum ya taa
बताती	ba taa tii
सम्पर्कों	sam par koon
त्योहर	tyoo har
वैस्ले	vais lei
क्लीनिक	klii nik
दिखाना	di khaa naa
घिरा	ghi raa
रिटायरमेंट	ri t:aa yar meint:
पन्ना	pan naa
लास्ट	laast:
अनुक्रम	a nuk ram
छलांग	chha laang
अध्ययनों	adh ya noon
चिन्हों	chin hoon
मूलजी	muul jii
रखा	ra khaa
नहर	na har
पुत्री	put rii
नहा	na haa
खरीदें	kha rii dein
आभूषण	aa bhuu shhan:
इंटरमिडिएट	in t:ar mii d:ii yeit:
वसन्त	va sant
एकजुटता	eik jut: taa
विकिरणों	vi ki ri n:oon
पूर्व	puurv
क्लोरिन	kloo rin
ईसार	ii saar
प्रतिस्थापित	pra tas thaa pit
उक्ति	uk ti
सही	sa hii
डराने	d:a raa nei
स्वछंद	svach chhand
दिखायेगा	di khaa yei gaa
सपना	sap naa
सुख	sukh
अन्वेषण	an vaei shan:
नकारा	na kaa raa
खरकरवावाले	khar kar vaa vaa lei
पूर्ण	puurn:
फिलॉसोफी	phi laa saa phii
पँहुची	pa hun chii
घसीटना	gha siit: naa
सजीव	sa jiiv
कैपिटल	kai pi t:al
झुलसा	jhul saa
कपडे	kap dei
भौतिकी	bhau ti ki
गोपालदास	goo paal daas
क्षमतावान	kshham taa vaan
रक्षामंत्री	rak shhaa man tii
बाज	baaj
चौथा	chau thaa
नसें	na sein
कत्ल	katl
अत्याचारी	at yaa chaa rii
किशोरावस्था	ki shoo raa vas thaa
क्यूँ	kyuu
अयस्क	a yask
समानरुप	saa maan ruup
वर्ल्ड	varld:
निमल	na mil
मटेरियल	ma tei ri yal
पीरा	pii raa
कानूनी	kaa nuu nii
ब्राह्मणों	braah ma n:oon
जागती	jaag ti
लैंप	laimp
प्रकाशीय	pra kaa shii ya
छिपाने	chhi paa nei
जागते	jaag tei
सिफ़ारिश	si phaa rish
मिलाया	mi laa yaa
अभियंता	a bhi yan taa
संगम	san gam
स्थानीयकरण	sthaa nii ya ka ran:
लटका	lat: kaa
कल्पलता	kal pal taa
जमें	ja mein
असेम्बली	as meib lii
सतर्कता	sa tar ktaa
दिशा	di shaa
सतना	sat naa
लिमिटेड	li mi t:eid
सेवानिवृत्त	sei vaa niv rxit
टांगना	t:aan gnaa
बाघों	baa ghoon
रिडीयूज	ri d:ii yuuj
कंदों	kan doon
संतान	san taan
लूँगा	luun gaa
लेख	leikh
एम्बेस्डर्स	eim bais d:ars
सिखाती	si khaa tii
नमदुआदिन	nam duaa din
ब्राहमिन	braah min
सिखाते	si khaa tei
कसर	ka sar
प्राथमिकता	praa tha mik taa
जगा	ja gaa
अंतराल	an ta raal
बछड़े	bachh dei
नैरोबी	nau roo bii
चॉदर	chaa dar
जोर	joor
कार्यशील	kaar ya shiil
उद्धार	ud dhaar
संप्रदायों	sam pra daa yoon
मेंहैरिसबर्ग	mei mei ras ba rag
चकमाः	chak maa
परिपूर्ण	pa ri puurn:
सहारे	sa haa rei
अपराधी	ap raa dhii
लेस	leis
नागपुर	naag pur
षष्ठी	shhashh t:hii
पर्दे	par dei
घरोंदे	gha roon dei
बाँटा	baan t:taa
लाऊकारिया	laauu kaa ri yaa
मथू	ma thuu
जायंट	jaa yant:
प्रदायिनी	pra daa yi nii
तुर्की	tur kii
नालियों	naa li yoon
दिवस	di vas
समझा	sam jhaa
पॉचवा	pan chvaa
संकेतों	san kei toon
सरना	sar naa
समीक्षक	sa miik shhak
तृयोदशी	trxi yoo da shii
शौकबहुत	shauk ba hut
शरणार्थीयों	shar naar thi yoon
बढ़ना	bad:h naa
गोपालराव	goo paal raav
समुदाय	sa mu daay
गढ्ढे	gad:h d:hei
प्रतियोगता	pra ti yoo ga taa
टॉक	t:aak
चिड़िया	chi di yaa
सुनायी	su naa yii
भूदान	bhuu daan
लड़ता	lad taa
चिराग	chi raag
पूर्णतः	puurx ntah
चिराक	chi raak
लॉसन	laa san
सौंन्दर्य	saun dary
जबकभी	jab ka bhii
पड़	pad
संक्रमण	san kra man:
पडा	pa daa
कार्यकारी	kaar ya kaa rii
मोड़ती	mood tii
इच्छाओं	ich chhaaoon
बतायेगें	ba taaein gei
सर्वाहारी	sar vaa haa rii
लगभग	lag bhag
टोपे	too pei
श्वसन	shva san
मेरेफुटबॉल	mei rei ph~ut: baal
द्ष्ट	
एमआरव्यास	a ma raa veisy
बाजारों	baa jaa roon
टॉस	t:aas
सूर्य	suur ya
कहाई	ka haaii
ज़ीव्श	jii vaash
भावना	bhaav naa
महापुरुष	ma haa pu rush
तरोताजा	ta roo taa jaa
हेमलेट्स	heim leit:s
पूर्णता	puur ntaa
कहाँ	ka haan
कहाः	ka haa
गणों	ga n:oon
क्रिकेटिंग	kri kei t:ing
टॉप	t:aap
वोक्कालिगा	vkook laaig
स्टीम	st:iim
औरंगाबाद	au ran gaa baad
तौला	tau laa
नवीनता	na viin taa
मातरम	maat ram
हावरक्राफ्ट	haa var kraapht:
कामयाब	kaam yaab
मांगते	maan gtei
पुनर्गठन	pu nar ga t:han
खूबसूरत	khuub suu rat
सेक्टर	seik t:ar
दौड़ती	daud tii
नवीनतम	na viin tam
करोड़पति	ka rood pa ti
जुल्फिकार	jul phi kar
राजभवन	raaj bha van
संबद्ध	sam baddh
सुदृढ़	sud rxid:h
टुकड़ों	t:uk d:oon
सुनकर	sun kar
इंसानित	in saa ni yat
मातरं	maat ram
विश्वामित्र	vish vaa mitr
रचनाओं	rach naaoon
भौतिकविज्ञानी	bhu ti bha tiv ya hun
उपभोक्ता	up bhook taa
लूटते	luut: tei
जनसमूह	jan sa muuh
पेचीदा	pei chii daa
एमएसशुभ्भालक्ष्मी	a ma sha sei bhaa shham
कूद	kuud
खबरों	kha ba roon
जन्मदिवस	jan ma di vas
दिखना	di kha naa
बेखबरी	bei kha ba rii
बाना	baa naa
उतारा	u taa raa
लैब्रेडोर	laib ra d:oor
विचारमग्न	vi chaar magn
एकड़	ai kad
तरीकें	ta rii kei
सामानों	saa maa noon
त्रिरुवंतपुरम्	ti ru va nan ta pu ram
न्यूयार्क	nyuu yaark
आह्वान	aah vaan
कोलेस्ट्रॉल	koo leis t:raal
बरसाना	bar saa naa
परे	pa rei
अर्थपूर्णं	ar tha puur n:a
समझते	sa majh tei
खडे	kha dei
प्रियदास	pri ya daas
भक्तमाल	bhak tmaal
सेंटरों	sein t:a roon
पुनर्जीवित	pu nar jii vit
झुंझलाहट	jhun jhlaa ha t:oon
आदरणीय	aa dar n:ii ya
जब्त	jabt
चौपाईयाँ	chau paaii yaan
सीमारेखा	sii maa rei khaa
पत्थर	pat thar
करतूत	kar tuut
युगपुरुष	yug pu rushh
ब्रह्मे	brah mei
बूढ़े	buu d:hei
जेरी	jei rii
दूसरा	duus raa
कुडुमु	ku d:u mu
हृष्ट	hrxishht:
एनीमेशन	ei nii mei shan
निदान	ni daan
वाक्यों	vaak yoon
सक्रियतावाद	sak ri ya taa vaad
पूर्णकालिक	puur n:a kaa lik
परिस्थितियो	pa ris thi ti yoon
सुचारु	su chaa ru
लेप	leip
थेवर	thei var
व्यसत	vyast
जापानियों	jaa paa ni yoon
ला	laa
वफादारी	va phaa daa rii
दृढता	drxid:h taa
बनकर	ban kar
जनक	ja nak
मनोविज्ञान	ma noo vig yaan
भाई	bhaai
भोजन	bhoo jan
रवि	ra vi
भाग	bhaag
क्षणभर	kshhan: bhar
स्वंयसेवकों	sva yam sei vak
राजानीतिक	raaj nii tik
मैनें	mai nein
नेताजी	nei taa jii
हदों	ha doon
रूपी	ruu pii
भीमजी	bhiim jii
वाशर	vaa shar
लत	lat
त्यागने	tyaag nei
पहाड़	pa haad
मखमल	makh mal
भात	bhaat
भावजी	bhaav jii
विश्वविद्यालयों	vish vvid ya la yoon
पलता	pal taa
आवली	aav lii
लग	lag
लई	lai
जनन	ja nan
खेलकूद	kheil kuud
लाईसेंस	laai seins
रसायन	ra saa yan
इतावली	i taav lii
भार	bhaar
जनम	ja nam
हराने	ha raa nei
समझाते	sam jhaa tei
गुटबाजी	gut: baa jii
विचारकों	vi chaa ra koon
इन्द्रदेव	in dra deiv
समझाती	sam jhaa tii
अनुपलब्ध	a nup labdh
रिजल्ट	ri jalt:
प्रतिप्रदा	pra tip ra daa
करमचंद	ka ram chand
पामुलापर्ती	paa mu laap ra tii
कोबिद	koo bid
व्रत	vrat
माता	maa taa
संपत्ति	sam pat ti
जॉर्जटीबाल्क	jaur jt:i baalk
भारतीय	bhaa ra tii ya
चरवाहों	char vaa hoon
घटकर	ghat: kar
समरसता	sam ras taa
बेचना	beich naa
कमजोरियों	kam joo ri yoon
माननीयों	maa na nii yoon
शांतिपूर्वक	shaan ti puur vak
लठमार	lat:h maar
पारिस्थितिकी	paa ris thi ti kii
रामानंद	raa maa nand
फेसबुक	pheis buk
कहेंगें	ka hein gei
कज़िन	ka jin
भागों	bhaa goon
दमन	da man
क्रियान्वित	kri yaan vit
प्रभावती	pra bhaav tii
पार्लियामेंट	paa raa li ya meint:
त्यौंहार	tyau haar
गौरवमयी	gau rav ma yii
बुने	bu nei
पूर्ववर्तियों	puur vav rit ti yoon
टूटा	t:uu t:aa
वेल्स	veils
ग़ैर	gair
इइजी	i jei jii
राष्ट्रपित	raashh
संकीर्णता	san kiir n:taa
भयभीत	bha ya bhiit
शक्तिषगढ	shak tishh gad:h
क्रिप्टोस्पोरिडियम	krip t:oos poo ti d:i yam
चिनसुरा	chin su raa
फरनॉनडो	phar nan d:oo
खोले	khoo lei
जवाहरलाल	ja vaa har laal
प्रतिबंधक	pra ti ban dhak
गयीं	ga yii
पिछड़ी	pichh dii
केलिये	kei li yei
करवाना	kar vaa naa
